condition,label,author,fold,observation_index,score,calibrated_threshold,normalised_score,flagged
flash,human,jane_austen,2,1,176.44947881109485,490.58141011645677,0.359674205284722,0
flash,human,jane_austen,2,2,165.41691260685218,490.58141011645677,0.3371854481146863,0
flash,human,jane_austen,2,3,131.12203421181044,490.58141011645677,0.26727884813385816,0
flash,human,jane_austen,2,4,133.3573423189045,490.58141011645677,0.2718352949559329,0
flash,human,jane_austen,2,5,134.64490292431884,490.58141011645677,0.27445985548526214,0
flash,human,jane_austen,2,6,111.88921143603453,490.58141011645677,0.22807470713061403,0
flash,human,jane_austen,2,7,230.01886437937503,490.58141011645677,0.46886991564717456,0
flash,human,jane_austen,2,8,138.94662953681734,490.58141011645677,0.2832284849599855,0
flash,human,jane_austen,2,9,120.83840315801251,490.58141011645677,0.24631671862439153,0
flash,human,jane_austen,2,10,186.92086838543312,490.58141011645677,0.38101906132370744,0
flash,human,jane_austen,2,11,93.82619039682625,490.58141011645677,0.19125508725361873,0
flash,human,jane_austen,2,12,199.6850546639227,490.58141011645677,0.40703754880667087,0
flash,human,jane_austen,2,13,96.13186531644557,490.58141011645677,0.19595496962191308,0
flash,human,jane_austen,2,14,130.59371980715176,490.58141011645677,0.26620193328595704,0
flash,human,jane_austen,2,15,192.56049491490234,490.58141011645677,0.3925148628628046,0
flash,human,jane_austen,2,16,142.5865178868596,490.58141011645677,0.2906480248670892,0
flash,human,jane_austen,2,17,133.76853580580595,490.58141011645677,0.27267347079876364,0
flash,human,jane_austen,2,18,103.90674977015652,490.58141011645677,0.21180327592415416,0
flash,human,jane_austen,2,19,144.6107782081601,490.58141011645677,0.2947742723757748,0
flash,human,jane_austen,2,20,181.2218678226594,490.58141011645677,0.3694022318938665,0
flash,human,jane_austen,2,21,173.80246787511095,490.58141011645677,0.3542785443782976,0
flash,human,jane_austen,2,22,269.0032146202958,490.58141011645677,0.5483355240803732,0
flash,human,jane_austen,2,23,255.9211058211939,490.58141011645677,0.521668984074309,0
flash,human,jane_austen,2,24,95.50329305438484,490.58141011645677,0.1946736893917643,0
flash,human,jane_austen,2,25,171.2290673081556,490.58141011645677,0.34903293067608976,0
flash,human,jane_austen,2,26,151.42570862806383,490.58141011645677,0.3086658106187057,0
flash,human,jane_austen,2,27,127.44114982529626,490.58141011645677,0.25977574200180886,0
flash,human,jane_austen,2,28,132.30643555578857,490.58141011645677,0.26969312906573645,0
flash,human,jane_austen,2,29,149.74730270401142,490.58141011645677,0.30524455190518457,0
flash,human,jane_austen,2,30,142.29815819454444,490.58141011645677,0.29006023314410745,0
flash,human,jane_austen,2,31,166.94497393311903,490.58141011645677,0.3403002447514038,0
flash,human,herbert_george_wells,0,1,483.52207669322274,441.8837615060074,1.094229113659451,1
flash,human,herbert_george_wells,0,2,634.0005140238186,441.8837615060074,1.4347676227409851,1
flash,human,herbert_george_wells,0,3,966.7619455148878,441.8837615060074,2.187819580018092,1
flash,human,herbert_george_wells,0,4,192.67417801613894,441.8837615060074,0.43602909814897,0
flash,human,herbert_george_wells,0,5,415.21959965513315,441.8837615060074,0.9396579730379802,0
flash,human,herbert_george_wells,0,6,156.8149214328173,441.8837615060074,0.3548782170640715,0
flash,human,herbert_george_wells,0,7,525.6644381574807,441.8837615060074,1.1895989034897685,1
flash,human,herbert_george_wells,0,8,349.91630720357136,441.8837615060074,0.7918741028432525,0
flash,human,herbert_george_wells,0,9,314.6337306413456,441.8837615060074,0.7120282708941957,0
flash,human,herbert_george_wells,0,10,579.7900279645283,441.8837615060074,1.3120872013683311,1
flash,human,herbert_george_wells,0,11,209.15755591764406,441.8837615060074,0.4733316182626923,0
flash,human,agnes_may_fleming,1,1,198.66234817455518,483.8554732139631,0.4105820005609522,0
flash,human,agnes_may_fleming,1,2,311.3208581651431,483.8554732139631,0.643417043724285,0
flash,human,agnes_may_fleming,1,3,269.7806118774014,483.8554732139631,0.5575644522224991,0
flash,human,agnes_may_fleming,1,4,326.28396867943195,483.8554732139631,0.6743417957269808,0
flash,human,agnes_may_fleming,1,5,453.7216369661427,483.8554732139631,0.9377214108013302,0
flash,human,agnes_may_fleming,1,6,419.5428198005364,483.8554732139631,0.8670829266718094,0
flash,human,agnes_may_fleming,1,7,301.1058632413632,483.8554732139631,0.6223053781768689,0
flash,human,agnes_may_fleming,1,8,348.4850727152316,483.8554732139631,0.7202255466915632,0
flash,human,agnes_may_fleming,1,9,434.37059112511383,483.8554732139631,0.8977279687255562,0
flash,human,agnes_may_fleming,1,10,225.43479600134262,483.8554732139631,0.46591349789620823,0
flash,human,agnes_may_fleming,1,11,251.00070162336047,483.8554732139631,0.5187513948248071,0
flash,human,agnes_may_fleming,1,12,254.8071260721788,483.8554732139631,0.5266182572652266,0
